segment_id,label,P_mean,image_path
1,mayep,29.0086,training_images\mayep_segment_0001.png
2,mayep,28.8398,training_images\mayep_segment_0002.png
3,mayep,29.0478,training_images\mayep_segment_0003.png
4,mayep,29.0565,training_images\mayep_segment_0004.png
5,mayep,28.9238,training_images\mayep_segment_0005.png
6,mayep,28.8785,training_images\mayep_segment_0006.png
7,mayep,29.0915,training_images\mayep_segment_0007.png
8,mayep,28.9693,training_images\mayep_segment_0008.png
9,mayep,29.046,training_images\mayep_segment_0009.png
10,mayep,29.1049,training_images\mayep_segment_0010.png
11,mayep,29.1017,training_images\mayep_segment_0011.png
12,mayep,29.1284,training_images\mayep_segment_0012.png
13,mayep,28.9401,training_images\mayep_segment_0013.png
14,mayep,28.9067,training_images\mayep_segment_0014.png
15,mayep,28.9593,training_images\mayep_segment_0015.png
16,mayep,28.8001,training_images\mayep_segment_0016.png
17,mayep,29.0219,training_images\mayep_segment_0017.png
18,mayep,29.0188,training_images\mayep_segment_0018.png
19,mayep,29.1266,training_images\mayep_segment_0019.png
20,mayep,28.9565,training_images\mayep_segment_0020.png
21,mayep,28.8085,training_images\mayep_segment_0021.png
22,mayep,28.9832,training_images\mayep_segment_0022.png
23,mayep,28.7697,training_images\mayep_segment_0023.png
24,mayep,29.0169,training_images\mayep_segment_0024.png
25,mayep,28.8327,training_images\mayep_segment_0025.png
26,mayep,29.0011,training_images\mayep_segment_0026.png
27,mayep,28.7916,training_images\mayep_segment_0027.png
28,mayep,28.7855,training_images\mayep_segment_0028.png
29,mayep,28.8239,training_images\mayep_segment_0029.png
30,mayep,28.8715,training_images\mayep_segment_0030.png
31,mayep,28.6937,training_images\mayep_segment_0031.png
32,mayep,27.6047,training_images\mayep_segment_0032.png
33,mayep,28.1028,training_images\mayep_segment_0033.png
34,mayep,27.9994,training_images\mayep_segment_0034.png
35,mayep,28.1702,training_images\mayep_segment_0035.png
36,mayep,28.0661,training_images\mayep_segment_0036.png
37,mayep,28.0223,training_images\mayep_segment_0037.png
38,mayep,27.9819,training_images\mayep_segment_0038.png
